NAICS,NAICS Description,Item,Tax Status,Employer Status,2012 Revenue,2011 Revenue,2010 Revenue,2012 Coefficient of Variation,2011 Coefficient of Variation,2010 Coefficient of Variation
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Rental of telecommunications equipment ,All Establishments ,Employer Firms ,345,362,336,14.3,15.8,16.1
622,Hospitals ,Total operating revenue ,All Establishments ,Employer Firms ,"918,707","864,422","822,590",1.1,0.9,0.6
5231X ,Commodity Contracts Dealing and Brokerage8 ,Management of financial market clearing products ,All Establishments ,Employer Firms ,400,427,429,13.3,15.2,10.6
51111,Newspaper Publishers ,Subscriptions and sales ,All Establishments ,Employer Firms ,"8,570","8,570","8,753",2.8,2.3,2.4
711219,Other Spectator Sports ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"3,762","3,847","3,659",10.4,10.7,8.6
51112,Periodical Publishers ,Periodicals - subscriptions & sales ,All Establishments ,Employer Firms ,"14,027","12,790","12,608",7.5,7.4,5.9
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,421,387,344,14.2,19.8,17
51114,Directory and Mailing List Publishers ,"Directories, databases, and other collections of information - Subscriptions and sales ",All Establishments ,Employer Firms ,"2,295","2,313","2,337",3.7,3.3,3.3
54186,Direct Mail Advertising ,Fulfillment services ,All Establishments ,Employer Firms ,343,311,318,11.4,14.3,14.7
6211,Offices of Physicians ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"19,595","15,992","14,800",6,6.7,5.5
486,Pipeline Transportation ,Transportation of bulk crude oil by pipeline ,All Establishments ,Employer Firms ,"5,485","4,938","4,511",Z,Z,Z
5415,Computer Systems Design and Related Services ,IT infrastructure and network management ,All Establishments ,Employer Firms ,"46,602","44,512","41,601",2.2,4.1,4.2
51911,News Syndicates ,Total operating revenue ,All Establishments ,Employer Firms ,"2,348","2,188","1,960",4.5,3.2,3.1
486,Pipeline Transportation ,Transportation of bulk natural gas and liquefied natural gas by pipeline ,All Establishments ,Employer Firms ,"21,867","22,242","20,839",Z,Z,Z
711211,Sports Teams and Clubs ,Admissions revenue (excluding admissions taxes) ,Establishments subject to federal income tax ,Employer Firms ,"8,458","8,494","7,846",6.4,7.7,6.6
54133,Engineering Services ,Industrial and manufacturing engineering projects ,All Establishments ,Employer Firms ,"33,288","31,502","26,971",8.4,11.1,12.4
6114,Business Schools and Computer and Management Training ,All other operating revenue ,All Establishments ,Employer Firms ,"1,799","1,740","1,566",12.7,12.6,11.6
621498,All Other Outpatient Care Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,79,S,S,12.3
56152,Tour Operators ,Total operating revenue ,All Establishments ,Employer Firms ,"5,665","5,382","5,283",4.5,4.7,4.9
6212,Offices of Dentists ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"41,719","40,048","38,855",3.6,2.7,2.3
