6117,Educational Support Services ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"10,697","10,191","9,510",2.8,2.9,2.7
62142,Outpatient Mental Health and Substance Abuse Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"8,521","8,134","7,846",5.3,4.9,4.5
51112,Periodical Publishers ,Sale or licensing of rights to content ,All Establishments ,Employer Firms ,506,482,475,13.4,15.2,15.3
6233,Community Care Facilities for the Elderly ,Total operating revenue ,All Establishments ,Employer Firms ,"51,346","49,022","46,594",1.9,1.6,1.4
6219,Other Ambulatory Health Care Services ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,959,"1,032",962,7.3,6.4,5.7
621491,Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"4,486","4,225","3,799",1.2,1.3,1.3
54186,Direct Mail Advertising ,Print services for direct mail advertising materials ,All Establishments ,Employer Firms ,"1,739","1,762","1,696",6.2,7.3,7.9
621391,Offices of Podiatrists ,All other non-patient care revenue ,All Establishments ,Employer Firms ,51,S,S,22.4,S,S
485,Transit and Ground Passenger Transportation ,"Local, passenger transportation by road except fixed route ",All Establishments ,Employer Firms ,"13,423","12,756","12,129",3,2.9,2.4
54181,Advertising Agencies ,Total operating revenue ,All Establishments ,Employer Firms ,"39,826","35,437","33,476",5.2,4.3,4.4
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Brokering and dealing products - Equities ,All Establishments ,Employer Firms ,"35,771","37,703","43,397",2.5,2.3,2.1
6211,Offices of Physicians ,Total operating revenue ,All Establishments ,Employer Firms ,"404,254","386,672","372,579",1.4,1.2,0.9
54181,Advertising Agencies ,Total operating revenue ,All Establishments ,Employer Firms ,"39,826","35,437","33,476",5.2,4.3,4.4
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,All other operating revenue ,All Establishments ,Employer Firms ,"64,943","67,534","72,763",1.2,1.8,1.6
6212,Offices of Dentists ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"9,957","11,049","10,982",5.8,8.5,6.9
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Telecommunication network installation services ,All Establishments ,Employer Firms ,160,S,S,7.9,S,S
51112,Periodical Publishers ,Sale or licensing of rights to content ,All Establishments ,Employer Firms ,506,482,475,13.4,15.2,15.3
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"1,040","1,009",984,13.5,11.9,10.7
6211,Offices of Physicians ,Investment and property income ,All Establishments ,Employer Firms ,842,912,"1,085",13.5,11.5,18.8
517911,Telecommunications Resellers4 ,Carrier services ,All Establishments ,Employer Firms ,"2,653","2,525","2,499",5.9,5.9,5.6
5112,Software Publishers ,Re-sale of computer hardware and software ,All Establishments ,Employer Firms ,"5,608","4,557","3,262",6.3,9,4
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Financial planning and investment management services for individuals ,All Establishments ,Employer Firms ,"15,713","14,430","13,933",2.6,2.1,2.2
621492,Kidney Dialysis Centers ,Investment and property income ,All Establishments ,Employer Firms ,59,58,55,1.9,3.8,1.7
56151,Travel Agencies ,Commissions or fees from computerized reservation systems ,All Establishments ,Employer Firms ,746,749,723,7.8,6.3,6.7
62133,"Offices of Mental Health Practitioners, (except Physicians) ",All other non-patient care revenue ,All Establishments ,Employer Firms ,251,225,206,12,17.3,20.9
621491,Other Outpatient Care Centers ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,297,284,254,1.2,1.2,1.2
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",All other operating revenue ,All Establishments ,Employer Firms ,"10,756","10,347","9,923",11.6,11.2,11.8
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from trip planning ,All Establishments ,Employer Firms ,"1,586","1,633","1,538",24.9,21.5,20
5171,Wired Telecommunications Carriers2 ,Air time (advertising and program content) ,All Establishments ,Employer Firms ,S,"5,146","5,051",S,0.6,0.5
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Financial planning and investment management services for businesses and governments ,All Establishments ,Employer Firms ,"9,929","10,975","11,617",3.5,2.7,4
5171,Wired Telecommunications Carriers2 ,Private network services ,All Establishments ,Employer Firms ,"22,253","22,222","21,977",2.2,2.3,1.8
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",Investment and property income ,All Establishments ,Employer Firms ,"19,957","15,183","20,002",6.4,7.5,7.3
5171,Wired Telecommunications Carriers2 ,Installation services for connections to program distribution networks ,All Establishments ,Employer Firms ,"1,323","1,115","1,104",20.1,21.4,21.2
2211,"Electric Power Generation, Transmission and Distribution ",Sewer system user charges ,All Establishments ,Employer Firms ,20,19,32,Z,3.6,0.2
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) technical consulting services ,All Establishments ,Employer Firms ,"3,868","3,623","3,431",8.9,7.7,7.6
51113,Book Publishers ,Books - adult trade books ,All Establishments ,Employer Firms ,"6,637","7,024","7,075",3.2,3.4,3.2
  ,  ,,,,,,,,,
51213,Motion Picture and Video Exhibition ,Admissions to feature film exhibitions ,All Establishments ,Employer Firms ,"9,521","8,859","9,101",3.4,2.6,2.1
6215,Medical and Diagnostic Laboratories ,Patient out-of-pocket ,All Establishments ,Employer Firms ,"2,852","2,889","2,795",4.5,4.2,3.5
6215,Medical and Diagnostic Laboratories ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"20,061","20,361","19,908",2.5,2.2,2.1
51512,Television Broadcasting ,National/regional/local air time ,All Establishments ,Employer Firms ,"31,691","27,758","27,960",1.3,1.8,1.3
51114,Directory and Mailing List Publishers ,Rental or sale of mailing lists ,All Establishments ,Employer Firms ,S,118,127,S,29.4,26.4
5239X ,Portfolio Management and Investment Advice9 ,Financial planning and investment management services for businesses and governments ,All Establishments ,Employer Firms ,"90,679","86,267","76,236",4.1,4.2,4
51114,Directory and Mailing List Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"12,182","13,040","13,475",2.3,2.1,2.1
515111,Radio Networks ,Public and non-commercial programming services ,All Establishments ,Employer Firms ,415,405,391,10.1,11,11.3
5121x ,Motion Picture and Video Production and Distribution1 ,International licensing of rights to others to distribute audiovisual works ,All Establishments ,Employer Firms ,369,377,351,7.2,5.7,7.9
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",Other patient care revenue ,All Establishments ,Employer Firms ,"4,621","4,260","4,109",7,5.4,4.8
