51111,Newspaper Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"32,729","33,164","34,695",2.3,2,1.9
54181,Advertising Agencies ,Other advertising services ,All Establishments ,Employer Firms ,"4,401","3,974","3,769",7.4,6,10.1
5174,Satellite Telecommunications ,Total operating revenue ,All Establishments ,Employer Firms ,"5,525","5,395","5,296",3.6,3.7,3.1
518,"Data Processing, Hosting, and Related Services5 ",All other operating revenue ,All Establishments ,Employer Firms ,S,"10,746","9,675",S,5.3,5.4
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing other financial instruments ,All Establishments ,Employer Firms ,"1,730","3,079","1,834",5.3,4.4,4.3
9,Includes NAICS 52392 (Portfolio Management) and NAICS 52393 (Investment Advice). ,,,,,,,,,
5417,Scientific Research and Development Services ,Basic and applied research in the social sciences and humanities ,Establishments subject to federal income tax ,Employer Firms ,"1,278","1,208","1,133",6.9,6.5,6.5
621399,Offices of All Other Miscellaneous Health Practitioners ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,94,S,S,26.6
518,"Data Processing, Hosting, and Related Services5 ",Software publishing ,All Establishments ,Employer Firms ,"2,821",S,"2,019",9.8,S,10.3
6215,Medical and Diagnostic Laboratories ,Total operating revenue ,All Establishments ,Employer Firms ,"46,542","47,151","45,318",2.3,2.2,1.8
62141,Outpatient Care Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"2,002","1,914","1,864",3.3,3.1,2.8
621498,All Other Outpatient Care Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"4,387","4,238","3,948",2.7,3.3,4.4
481,Air Transportation ,"International, scheduled freight transportation by air ",All Establishments ,Employer Firms ,"8,095","7,347","6,402",11.7,7.7,6.8
483,Water Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"1,662","1,431","1,445",5.4,5.5,5
  ,  ,,,,,,,,,
6116,Other Schools and Instruction ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"13,040","12,308","11,428",4.4,4.3,4
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Water ,All Establishments ,Employer Firms ,34,29,29,0.2,0.3,0.3
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,All other operating revenue ,All Establishments ,Employer Firms ,"64,943","67,534","72,763",1.2,1.8,1.6
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,S,S,S,S
483,Water Transportation ,Sightseeing by water ,All Establishments ,Employer Firms ,S,S,S,S,S,S
5121x ,Motion Picture and Video Production and Distribution1 ,Domestic licensing of rights to motion picture films ,All Establishments ,Employer Firms ,"13,729","13,507","13,785",2,1.9,2
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from event tickets ,All Establishments ,Employer Firms ,"3,958",S,S,13,S,S
6216,Home Health Care Services ,All other non-patient care revenue ,All Establishments ,Employer Firms ,489,502,493,21.3,18.8,19.6
5231X ,Commodity Contracts Dealing and Brokerage8 ,Management of financial market clearing products ,All Establishments ,Employer Firms ,400,427,429,13.3,15.2,10.6
511199,All Other Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"1,827","1,742","1,755",8.5,6.1,5.5
51113,Book Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"27,489","27,968","28,121",2.1,1.6,1.4
486,Pipeline Transportation ,Transportation of bulk crude oil by pipeline ,All Establishments ,Employer Firms ,"5,485","4,938","4,511",Z,Z,Z
51112,Periodical Publishers ,Periodicals - advertising space ,All Establishments ,Employer Firms ,"15,912","16,213","16,076",5.4,4.6,4.5
6233,Community Care Facilities for the Elderly ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,475","10,432","9,746",5,4.8,4.6
2212,Natural Gas Distribution ,All other operating revenue ,All Establishments ,Employer Firms ,D,"3,276","3,235",D,3.6,5.4
54133,Engineering Services ,Residential engineering projects ,All Establishments ,Employer Firms ,S,S,S,S,S,S
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Repurchase agreements - Net gains (losses) ,All Establishments ,Employer Firms ,"7,877","7,533","8,177",1.6,1.4,1.8
5239X ,Portfolio Management and Investment Advice9 ,Financial planning and investment management services for individuals ,All Establishments ,Employer Firms ,"65,449","62,494","60,620",5.8,5.5,4.8
621492,Kidney Dialysis Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"11,783","10,836","10,296",3.1,2.8,2.3
54133,Engineering Services ,"Commercial, public, and institutional engineering projects ",All Establishments ,Employer Firms ,"13,718","12,054","10,611",21.6,21.8,20
621491,Other Outpatient Care Centers ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,297,284,254,1.2,1.2,1.2
54182,Public Relations Agencies ,Event management ,All Establishments ,Employer Firms ,S,S,474,S,S,21.5
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Total operating revenue ,All Establishments ,Employer Firms ,"33,702","32,657","31,948",2,1.8,1.5
5415,Computer Systems Design and Related Services ,"Computer systems design, development, and integration ",All Establishments ,Employer Firms ,"39,149","36,178","34,659",5.7,4.9,5
51213,Motion Picture and Video Exhibition ,Total operating revenue ,All Establishments ,Employer Firms ,"14,519","13,309","13,454",3.1,2.1,1.8
621391,Offices of Podiatrists ,All other non-patient care revenue ,All Establishments ,Employer Firms ,51,S,S,22.4,S,S
54133,Engineering Services ,Municipal utility engineering projects ,All Establishments ,Employer Firms ,"7,670","8,336","7,988",14.3,15.7,13.4
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",General accounting services ,All Establishments ,Employer Firms ,"6,574","5,987","6,306",9.7,10.3,11.4
51111,Newspaper Publishers ,Advertising space ,All Establishments ,Employer Firms ,"18,871","19,731","21,055",2.8,2.6,2.5
621492,Kidney Dialysis Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ","Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"8,311","8,083","7,930",4.4,3.9,3.3
621491,Other Outpatient Care Centers ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,297,284,254,1.2,1.2,1.2
6212,Offices of Dentists ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
62141,Outpatient Care Centers ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,602,567,542,4.4,5,4.4
5112,Software Publishers ,Information technology technical consulting services ,All Establishments ,Employer Firms ,"5,563","5,915","5,128",14.3,11.3,10.1
54131,Architectural Services ,Single-family residential projects ,All Establishments ,Employer Firms ,"2,314","2,274","2,180",18.4,18.5,16.2
51112,Periodical Publishers ,Printing services for others ,All Establishments ,Employer Firms ,"1,357","1,511","1,533",19.9,16.1,15.1
522,Credit Intermediation and Related Activities ,Total operating revenue ,All Establishments ,Employer Firms ,"1,032,590","1,048,400","1,120,199",1.7,1.4,1.4
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Repurchase agreements - Net gains (losses) ,All Establishments ,Employer Firms ,"7,877","7,533","8,177",1.6,1.4,1.8
62131,Offices of Chiropractors ,Other patient care revenue ,All Establishments ,Employer Firms ,579,561,534,8.7,9.3,9.9
54181,Advertising Agencies ,Total operating revenue ,All Establishments ,Employer Firms ,"39,826","35,437","33,476",5.2,4.3,4.4
51224,Sound Recording Studios ,Studio recording ,All Establishments ,Employer Firms ,614,613,605,5.7,6,5.8
51223,Music Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"3,879","3,867","3,793",2.3,2.5,2.3
62142,Outpatient Mental Health and Substance Abuse Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"13,999","13,566","12,985",3.2,2.7,2.2
5121x ,Motion Picture and Video Production and Distribution1 ,International licensing of rights to others to distribute audiovisual works ,All Establishments ,Employer Firms ,369,377,351,7.2,5.7,7.9
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ","Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,038","1,880","1,783",9,9.2,8.8
51913,Internet Publishing and Broadcasting and Web Search Portals6 ,Licensing of rights to use intellectual property ,All Establishments ,Employer Firms ,"1,814","1,768","1,160",3.6,3.3,3.5
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ","Bookkeeping, compilation, billing, and collection services ",All Establishments ,Employer Firms ,"6,623","5,757","5,739",9.5,12.1,10.7
54131,Architectural Services ,Interior design services ,All Establishments ,Employer Firms ,"2,314","2,021","1,968",14,14.6,13.9
56152,Tour Operators ,Pre-packaged tours - International travel ,All Establishments ,Employer Firms ,"1,777","1,687","1,699",5,6.8,6.3
621493,Freestanding Ambulatory Surgical and Emergency Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"12,665","11,573","10,824",4,2.3,2.2
6219,Other Ambulatory Health Care Services ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,407","1,371","1,324",6.6,6.5,6.6
5171,Wired Telecommunications Carriers2 ,"Reselling services for telecommunications equipment, retail ",All Establishments ,Employer Firms ,"1,387","1,737","1,770",7,13.5,9.5
621399,Offices of All Other Miscellaneous Health Practitioners ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,S,S,S,S
5239X ,Portfolio Management and Investment Advice9 ,Financial planning and investment management services for businesses and governments ,All Establishments ,Employer Firms ,"90,679","86,267","76,236",4.1,4.2,4
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Electricity generation and distribution ,All Establishments ,Employer Firms ,"420,151","424,469","407,699",2.1,1.9,1.7
6219,Other Ambulatory Health Care Services ,Other patient care revenue ,All Establishments ,Employer Firms ,"11,327","11,394","11,063",1.4,1.7,1.7
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Brokering and dealing investment company securities ,All Establishments ,Employer Firms ,"15,906","13,673","13,393",3.1,2.6,2.6
62132,Offices of Optometrists ,Total operating revenue ,All Establishments ,Employer Firms ,"12,579","12,025","11,684",2.2,1.9,1.5
62131,Offices of Chiropractors ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"1,385","1,357","1,316",4.2,4.9,4.8
621498,All Other Outpatient Care Centers ,Other patient care revenue ,All Establishments ,Employer Firms ,"3,246","2,747","2,543",6.1,3.4,3.2
62141,Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,334,317,330,3.6,2.9,2.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Trading foreign currency on own account - Net gains (losses) ,All Establishments ,Employer Firms ,328,271,274,7.6,6.6,6.6
56151,Travel Agencies ,Commissions or fees from lodging ,All Establishments ,Employer Firms ,"3,035","2,976","2,671",7,7.2,6.9
56292,Material Recovery Facilities ,Other waste management services ,All Establishments ,Employer Firms ,43,30,29,26.3,6.2,5.8
5417,Scientific Research and Development Services ,Investment and property income ,Establishments exempt from federal income tax ,Employer Firms ,"1,600","1,845","1,127",4,9.4,9
51224,Sound Recording Studios ,Studio recording ,All Establishments ,Employer Firms ,614,613,605,5.7,6,5.8
5112,Software Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"34,759",S,"29,234",3.6,S,3.6
56151,Travel Agencies ,Commissions or fees from packaged tours ,All Establishments ,Employer Firms ,"1,516","1,498","1,460",8.7,7.4,7.9
624,Social Assistance ,Investment and property income ,All Establishments ,Employer Firms ,"1,446","1,494","1,520",8.6,8.5,9.6
5152,Cable and Other Subscription Programming ,Advertising and program revenue - Licensing of rights to broadcast specialty programming protected by copyright ,All Establishments ,Employer Firms ,"36,764","33,821","31,354",0.7,0.7,0.7
5121x ,Motion Picture and Video Production and Distribution1 ,International licensing of rights to television programs ,All Establishments ,Employer Firms ,"3,737","3,545","3,175",2.7,1.9,1.9
484,Truck Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"18,186","16,939","15,678",4.8,5,5.4
5622,Waste Treatment and Disposal ,Hazardous waste treatment and disposal services ,All Establishments ,Employer Firms ,"5,723","6,032","5,607",5.3,4.6,4.4
6233,Community Care Facilities for the Elderly ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,059","2,175","1,979",12.1,10.9,10.6
5171,Wired Telecommunications Carriers2 ,Rental of telecommunications equipment ,All Establishments ,Employer Firms ,"1,169","1,165","1,292",0.9,2.5,2.1
517911,Telecommunications Resellers4 ,Mobile telephony ,All Establishments ,Employer Firms ,"2,045","1,894",S,18.1,16.1,S
62132,Offices of Optometrists ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"4,447","4,310","4,161",3.2,2.3,1.8
5621,Waste Collection ,Non-residential nonhazardous waste and recyclable material collection services ,All Establishments ,Employer Firms ,"20,919","20,327","20,262",4.1,3.7,4.3
5171,Wired Telecommunications Carriers2 ,Website hosting services ,All Establishments ,Employer Firms ,215,292,304,5.8,2.5,3
5415,Computer Systems Design and Related Services ,IT infrastructure and network management ,All Establishments ,Employer Firms ,"46,602","44,512","41,601",2.2,4.1,4.2
483,Water Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"37,630","36,560","34,836",0.7,0.6,0.5
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5152,Cable and Other Subscription Programming ,Advertising and program revenue - Licensing of rights to broadcast specialty programming protected by copyright ,All Establishments ,Employer Firms ,"36,764","33,821","31,354",0.7,0.7,0.7
621391,Offices of Podiatrists ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,634,610,589,4.8,4.9,5.7
51223,Music Publishers ,Licensing revenue - Licensing of rights to use musical recordings ,All Establishments ,Employer Firms ,39,34,17,13.2,13.7,15.5
54133,Engineering Services ,Engineering advisory and drafting services ,All Establishments ,Employer Firms ,"3,930","4,622","4,724",16.8,18.3,19.3
62131,Offices of Chiropractors ,All other non-patient care revenue ,All Establishments ,Employer Firms ,S,135,145,S,16.1,14.3
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Trading derivative contracts on own account - Net gains (losses) ,All Establishments ,Employer Firms ,"8,753","9,432","9,357",10.2,10.6,5.4
5171,Wired Telecommunications Carriers2 ,"Reselling services for telecommunications equipment, retail ",All Establishments ,Employer Firms ,"1,387","1,737","1,770",7,13.5,9.5
511191,Greeting Card Publishers ,Greeting cards (paper or internet) ,All Establishments ,Employer Firms ,"2,577","2,597","2,605",1.6,1.2,1.3
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
621493,Freestanding Ambulatory Surgical and Emergency Centers ,Investment and property income ,All Establishments ,Employer Firms ,137,S,S,26.2,S,S
