6233,Community Care Facilities for the Elderly ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,475","10,432","9,746",5,4.8,4.6
56151,Travel Agencies ,All other operating revenue ,All Establishments ,Employer Firms ,"2,324","2,373","2,221",8.7,8.7,7.2
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ","Bookkeeping, compilation, billing, and collection services ",All Establishments ,Employer Firms ,"6,623","5,757","5,739",9.5,12.1,10.7
481,Air Transportation ,"International, non-scheduled passenger by air ",All Establishments ,Employer Firms ,"2,775","2,450","2,630",3.5,3.9,6.1
54161,Management Consulting Services10 ,"Operations and supply chain management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,961","8,133","8,035",6.2,8.2,7.2
62131,Offices of Chiropractors ,Total operating revenue ,All Establishments ,Employer Firms ,"11,432","11,005","10,642",2.2,1.8,1.5
6114,Business Schools and Computer and Management Training ,All other operating revenue ,All Establishments ,Employer Firms ,"1,799","1,740","1,566",12.7,12.6,11.6
481,Air Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"193,769","184,768","157,342",3.1,2.8,2.5
51911,News Syndicates ,All other operating revenue ,All Establishments ,Employer Firms ,590,S,346,18.7,S,13
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Trading derivative contracts on own account - Net gains (losses) ,All Establishments ,Employer Firms ,"8,753","9,432","9,357",10.2,10.6,5.4
5112,Software Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"34,759",S,"29,234",3.6,S,3.6
5121x ,Motion Picture and Video Production and Distribution1 ,Audiovisual works speculatively produced for outright sale ,All Establishments ,Employer Firms ,377,341,321,9.7,5.2,7.1
6219,Other Ambulatory Health Care Services ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,22,19,17,10,9.6,7.5
5239X ,Portfolio Management and Investment Advice9 ,All other operating revenue ,All Establishments ,Employer Firms ,"37,869","39,900","42,904",6.2,6.4,4.9
4,"Includes 2002 NAICS 5173 (Telecommunications Resellers).  Historical data, 2010 and prior, have been restated to reflect comparable data on the 2007 NAICS basis. ",,,,,,,,,
6114,Business Schools and Computer and Management Training ,All other operating revenue ,All Establishments ,Employer Firms ,"1,799","1,740","1,566",12.7,12.6,11.6
54111,Offices of Lawyers ,Total operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,"3,111","3,128","3,025",6.6,5,3.6
483,Water Transportation ,"Coastal, fixed-route, passenger by water ",All Establishments ,Employer Firms ,422,408,367,5,5,3.6
54161,Management Consulting Services10 ,Actuarial consulting (except for employee pensions and other benefits) ,All Establishments ,Employer Firms ,"1,437","1,308","1,214",11.4,10.4,11.8
9,Includes NAICS 52392 (Portfolio Management) and NAICS 52393 (Investment Advice). ,,,,,,,,,
2,"Includes 2002 NAICS 5171 (Wired Telecommunications Carriers), 2002 NAICS 5175 (Cable and Other Program Distribution), and a portion of 2002 NAICS 518111 (Internet Service Providers).  Historical data, 2010 and prior, have been restated to reflect comparable data on the 2007 NAICS basis.",,,,,,,,,
6233,Community Care Facilities for the Elderly ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"31,463","29,715","28,299",2.8,2.7,2.7
5415,Computer Systems Design and Related Services ,Network design and development ,All Establishments ,Employer Firms ,"7,298",S,"5,853",19.4,S,15.1
5174,Satellite Telecommunications ,Private network services ,All Establishments ,Employer Firms ,"1,843","1,729",S,3.9,4,S
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,983","1,833","1,735",8.4,8.7,8.3
622,Hospitals ,Investment and property income ,All Establishments ,Employer Firms ,"11,482","9,938","9,907",3.6,3.1,2.8
6115,Technical and Trade Schools ,Total operating revenue ,All Establishments ,Employer Firms ,"15,478","15,822","14,991",3.9,4.2,2.8
483,Water Transportation ,Transportation of freight and cargo by water ,All Establishments ,Employer Firms ,"18,764","18,638","17,369",1.3,1,1
6219,Other Ambulatory Health Care Services ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,407","1,371","1,324",6.6,6.5,6.6
54186,Direct Mail Advertising ,Print services for direct mail advertising materials ,All Establishments ,Employer Firms ,"1,739","1,762","1,696",6.2,7.3,7.9
6211,Offices of Physicians ,Total operating revenue ,All Establishments ,Employer Firms ,"404,254","386,672","372,579",1.4,1.2,0.9
56152,Tour Operators ,Customized group tours - Domestic travel ,All Establishments ,Employer Firms ,"1,106","1,000",851,12.4,11.7,8.1
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) design and development services ,All Establishments ,Employer Firms ,"2,996","2,587","2,277",13.6,12.6,11.5
54133,Engineering Services ,Engineering advisory and drafting services ,All Establishments ,Employer Firms ,"3,930","4,622","4,724",16.8,18.3,19.3
54161,Management Consulting Services10 ,Actuarial consulting (except for employee pensions and other benefits) ,All Establishments ,Employer Firms ,"1,437","1,308","1,214",11.4,10.4,11.8
621399,Offices of All Other Miscellaneous Health Practitioners ,All other non-patient care revenue ,All Establishments ,Employer Firms ,395,237,215,12.2,14.2,13.1
5112,Software Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"161,744","156,806","145,425",1.9,1.7,1.6
5231X ,Commodity Contracts Dealing and Brokerage8 ,Total operating revenue ,All Establishments ,Employer Firms ,"13,432","13,626","14,145",3.6,3.4,3.8
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Total operating revenue ,All Establishments ,Employer Firms ,"8,040","7,350","6,702",4.5,4.3,4.4
2212,Natural Gas Distribution ,Sales of energy and resources - Natural gas distribution ,All Establishments ,Employer Firms ,"66,429","80,600","83,918",2.1,1.9,1.7
51111,Newspaper Publishers ,Printing services for others ,All Establishments ,Employer Firms ,"1,448","1,313","1,258",6,6.9,7.1
51113,Book Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"3,634","3,673","3,725",6.1,9.5,7.9
561599,All Other Travel Arrangement and Reservation Services ,All other operating revenue ,All Establishments ,Employer Firms ,S,"1,515","1,433",S,5.5,5.2
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Mobile long-distance ,All Establishments ,Employer Firms ,"3,354","3,505","3,761",5.3,4.3,3.4
6216,Home Health Care Services ,Other patient care revenue ,All Establishments ,Employer Firms ,"2,511","2,379","2,304",18.8,11.7,10.8
622,Hospitals ,Other patient care revenue ,All Establishments ,Employer Firms ,"67,653","65,543","57,333",8.2,8.8,10.3
62142,Outpatient Mental Health and Substance Abuse Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"1,097","1,229","1,174",13.3,8.9,9.1
621491,Other Outpatient Care Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,6,4,4,1.2,1.2,1.2
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,357","1,227","1,129",9.5,7.2,6.8
51913,Internet Publishing and Broadcasting and Web Search Portals6 ,Total operating revenue ,All Establishments ,Employer Firms ,"57,534","48,487","41,725",3,2.9,2.5
484,Truck Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"230,632","215,884","194,616",1.4,1.5,1.4
621498,All Other Outpatient Care Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"4,387","4,238","3,948",2.7,3.3,4.4
51919,All Other Information Services ,All other operating revenue ,All Establishments ,Employer Firms ,443,396,381,14.8,12.9,10.2
5174,Satellite Telecommunications ,All other operating revenue ,All Establishments ,Employer Firms ,"2,060","2,147",S,3.8,5.5,S
5171,Wired Telecommunications Carriers2 ,Private network services ,All Establishments ,Employer Firms ,"22,253","22,222","21,977",2.2,2.3,1.8
56299,All Other Waste Management Services ,Sale or brokerage of nonhazardous recyclable material ,All Establishments ,Employer Firms ,151,173,42,16.8,8.3,15.4
51113,Book Publishers ,"Books - professional, technical, and scholarly books ",All Establishments ,Employer Firms ,"4,417","4,246","4,365",3.8,4.5,4.4
51113,Book Publishers ,"Books - professional, technical, and scholarly books ",All Establishments ,Employer Firms ,"4,417","4,246","4,365",3.8,4.5,4.4
54181,Advertising Agencies ,Marketing research ,All Establishments ,Employer Firms ,951,736,565,12.3,5.3,5.2
5239X ,Portfolio Management and Investment Advice9 ,All other operating revenue ,All Establishments ,Employer Firms ,"37,869","39,900","42,904",6.2,6.4,4.9
62142,Outpatient Mental Health and Substance Abuse Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,367,342,279,14.2,12.3,14.6
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ","Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"8,311","8,083","7,930",4.4,3.9,3.3
621491,Other Outpatient Care Centers ,Other patient care revenue ,All Establishments ,Employer Firms ,547,500,450,1.3,1.3,1.3
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Other patient care revenue ,All Establishments ,Employer Firms ,"1,824","1,794","1,801",11.9,10.3,10.2
5171,Wired Telecommunications Carriers2 ,"Reselling services for telecommunications equipment, retail ",All Establishments ,Employer Firms ,"1,387","1,737","1,770",7,13.5,9.5
54182,Public Relations Agencies ,All other operating revenue ,All Establishments ,Employer Firms ,775,709,602,12.7,9.9,13.1
8,Includes NAICS 52313 (Commodity Contracts Dealing) and NAICS 52314 (Commodity Contracts Brokerage). ,,,,,,,,,
621498,All Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"11,273","10,968","10,722",2,1.9,1.4
2212,Natural Gas Distribution ,All other operating revenue ,All Establishments ,Employer Firms ,D,"3,276","3,235",D,3.6,5.4
56292,Material Recovery Facilities ,Other waste management services ,All Establishments ,Employer Firms ,43,30,29,26.3,6.2,5.8
54133,Engineering Services ,Telecommunications and broadcasting engineering projects ,All Establishments ,Employer Firms ,"2,312","2,453","2,705",19.2,19.5,19.5
5417,Scientific Research and Development Services ,"Basic and applied research in natural and exact sciences, except biological sciences ",Establishments exempt from federal income tax ,Employer Firms ,"1,861","1,740","1,623",3.7,3,3.2
5112,Software Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"161,744","156,806","145,425",1.9,1.7,1.6
485,Transit and Ground Passenger Transportation ,"Local, passenger transportation by road except fixed route ",All Establishments ,Employer Firms ,"13,423","12,756","12,129",3,2.9,2.4
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from computerized reservation systems ,All Establishments ,Employer Firms ,"1,713","1,668","1,629",5,4.1,4.5
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",Investment and property income ,All Establishments ,Employer Firms ,S,26,26,S,12.6,19.7
5152,Cable and Other Subscription Programming ,Air time (advertising and program content) ,All Establishments ,Employer Firms ,"23,304","23,586","21,269",0.5,0.5,0.5
5239X ,Portfolio Management and Investment Advice9 ,Financial planning and investment management services for businesses and governments ,All Establishments ,Employer Firms ,"90,679","86,267","76,236",4.1,4.2,4
712,"Museums, Historical Sites, and Similar Institutions ",Total revenue ,Establishments exempt from federal income tax ,Employer Firms ,"11,107","10,606","10,571",3.1,2.8,2.5
485,Transit and Ground Passenger Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"3,099","3,069","2,977",4.3,5.7,5.9
S ,"Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%) or poor response quality (total quantity response rate is less than 50%) or other concerns about the estimate's quality.  Unpublished estimates derived from this table by subtraction are subject to these same limitations and should not be attributed to the U.S. Census Bureau.  For a description of publication standards and the total quantity response rate, see http://www.census.gov/quality/standards/standardf1.html. ",,,,,,,,,
5171,Wired Telecommunications Carriers2 ,"Reselling services for telecommunications equipment, retail ",All Establishments ,Employer Firms ,"1,387","1,737","1,770",7,13.5,9.5
62131,Offices of Chiropractors ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"5,725","5,629","5,431",2.4,2,1.8
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Rental of telecommunications equipment ,All Establishments ,Employer Firms ,345,362,336,14.3,15.8,16.1
51224,Sound Recording Studios ,Studio recording ,All Establishments ,Employer Firms ,614,613,605,5.7,6,5.8
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Natural gas distribution ,All Establishments ,Employer Firms ,"4,944","5,935","5,616",3.5,3.4,3.7
5239X ,Portfolio Management and Investment Advice9 ,All other operating revenue ,All Establishments ,Employer Firms ,"37,869","39,900","42,904",6.2,6.4,4.9
54186,Direct Mail Advertising ,Print services for direct mail advertising materials ,All Establishments ,Employer Firms ,"1,739","1,762","1,696",6.2,7.3,7.9
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Total operating revenue ,All Establishments ,Employer Firms ,"261,822","253,964","270,412",1.3,1.5,1.5
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) design and development services ,All Establishments ,Employer Firms ,"2,996","2,587","2,277",13.6,12.6,11.5
486,Pipeline Transportation ,Transportation of other bulk liquid gases by pipeline ,All Establishments ,Employer Firms ,505,488,439,Z,Z,Z
62133,"Offices of Mental Health Practitioners, (except Physicians) ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,297,309,294,9.3,8.6,8.9
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Taxation planning and consulting services ,All Establishments ,Employer Firms ,"6,698","6,765","6,478",8.9,7.7,6.1
6212,Offices of Dentists ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"1,128",S,S,29.8,S,S
483,Water Transportation ,"Coastal, fixed-route, passenger by water ",All Establishments ,Employer Firms ,422,408,367,5,5,3.6
6212,Offices of Dentists ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Natural gas distribution ,All Establishments ,Employer Firms ,"4,944","5,935","5,616",3.5,3.4,3.7
5121x ,Motion Picture and Video Production and Distribution1 ,International licensing of rights to television programs ,All Establishments ,Employer Firms ,"3,737","3,545","3,175",2.7,1.9,1.9
561599,All Other Travel Arrangement and Reservation Services ,All other operating revenue ,All Establishments ,Employer Firms ,S,"1,515","1,433",S,5.5,5.2
54161,Management Consulting Services10 ,All other operating revenue ,All Establishments ,Employer Firms ,"18,549","19,103","18,316",5.9,4.9,4.1
5112,Software Publishers ,Information technology technical consulting services ,All Establishments ,Employer Firms ,"5,563","5,915","5,128",14.3,11.3,10.1
5417,Scientific Research and Development Services ,Original works of intellectual property ,Establishments exempt from federal income tax ,Employer Firms ,S,42,41,S,9,17.2
5152,Cable and Other Subscription Programming ,Air time (advertising and program content) ,All Establishments ,Employer Firms ,"23,304","23,586","21,269",0.5,0.5,0.5
486,Pipeline Transportation ,Transportation of other bulk liquid gases by pipeline ,All Establishments ,Employer Firms ,505,488,439,Z,Z,Z
5171,Wired Telecommunications Carriers2 ,Installation services for connections to program distribution networks ,All Establishments ,Employer Firms ,"1,323","1,115","1,104",20.1,21.4,21.2
56151,Travel Agencies ,Commissions or fees from lodging ,All Establishments ,Employer Firms ,"3,035","2,976","2,671",7,7.2,6.9
56132,Temporary Help Services ,Total operating revenue ,All Establishments ,Employer Firms ,"122,858","113,832","100,689",3.2,3.1,3
5152,Cable and Other Subscription Programming ,Air time (advertising and program content) ,All Establishments ,Employer Firms ,"23,304","23,586","21,269",0.5,0.5,0.5
51911,News Syndicates ,Total operating revenue ,All Establishments ,Employer Firms ,"2,348","2,188","1,960",4.5,3.2,3.1
515111,Radio Networks ,All other operating revenue ,All Establishments ,Employer Firms ,"3,909","3,553","3,374",1.5,1.4,1.4
5417,Scientific Research and Development Services ,All other operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,"3,674","3,938","3,813",5.3,4.9,5.1
6216,Home Health Care Services ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,854,768,762,12.9,11.8,11.8
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Water ,All Establishments ,Employer Firms ,34,29,29,0.2,0.3,0.3
71311,Amusement and Theme Parks ,Admissions revenue (excluding admissions taxes) ,Establishments subject to federal income tax ,Employer Firms ,"8,419","8,018","7,198",1,1.2,0.8
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Mobile all distance ,All Establishments ,Employer Firms ,"63,321","60,765",S,0.9,0.9,S
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from other reservation services ,All Establishments ,Employer Firms ,275,242,234,11.8,17.4,4.5
511191,Greeting Card Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"3,720","3,822","3,852",0.6,0.5,0.4
621491,Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"4,486","4,225","3,799",1.2,1.3,1.3
5121x ,Motion Picture and Video Production and Distribution1 ,Merchandise licensing ,All Establishments ,Employer Firms ,837,769,546,5.5,3.5,3.7
6216,Home Health Care Services ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"47,159","44,248","42,310",4.8,3.7,4
62133,"Offices of Mental Health Practitioners, (except Physicians) ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,297,309,294,9.3,8.6,8.9
6219,Other Ambulatory Health Care Services ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,22,19,17,10,9.6,7.5
54186,Direct Mail Advertising ,Concept development for a direct mail advertising campaign ,All Establishments ,Employer Firms ,388,410,428,17.5,15.6,18.8
54131,Architectural Services ,Landscape architectural services ,All Establishments ,Employer Firms ,106,121,166,23.4,15.8,22.1
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Repurchase agreements - Net gains (losses) ,All Establishments ,Employer Firms ,"7,877","7,533","8,177",1.6,1.4,1.8
56151,Travel Agencies ,Commissions or fees from lodging ,All Establishments ,Employer Firms ,"3,035","2,976","2,671",7,7.2,6.9
622,Hospitals ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"38,171","34,597","32,915",3.6,3.5,3.6
6212,Offices of Dentists ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,520,631,645,25,21.8,22.9
7111,Performing Arts Companies ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"11,022","11,334","10,327",5.6,5.5,4.6
54181,Advertising Agencies ,Media buying ,All Establishments ,Employer Firms ,"6,689","6,245","6,290",10.7,8.7,9.5
11,The industry name and description have been changed to reflect the 2012 NAICS manual in order to be consistent with industry nomenclature. ,,,,,,,,,
51222,Integrated Record Production/Distribution ,Licensing revenue - Licensing of rights to use musical recordings ,All Establishments ,Employer Firms ,D,668,791,D,1,0.9
6215,Medical and Diagnostic Laboratories ,Outpatient care facilities ,All Establishments ,Employer Firms ,"1,245","1,262","1,310",12.5,10.1,10
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",Program service ,All Establishments ,Employer Firms ,"50,878","50,264","48,534",3,2.5,2.2
54133,Engineering Services ,All other operating revenue ,All Establishments ,Employer Firms ,"34,356","40,408","40,694",12.4,11.2,11.7
481,Air Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"193,769","184,768","157,342",3.1,2.8,2.5
54182,Public Relations Agencies ,All other operating revenue ,All Establishments ,Employer Firms ,775,709,602,12.7,9.9,13.1
6239,Other Residential Care Facilities ,Investment and property income ,All Establishments ,Employer Firms ,212,203,225,7.1,5.1,6.5
62131,Offices of Chiropractors ,Other patient care revenue ,All Establishments ,Employer Firms ,579,561,534,8.7,9.3,9.9
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",General accounting services ,All Establishments ,Employer Firms ,"6,574","5,987","6,306",9.7,10.3,11.4
5417,Scientific Research and Development Services ,Licensing of right to use intellectual property ,Establishments subject to federal income tax ,Employer Firms ,"13,983","15,146","10,720",10.5,18.2,7.3
56151,Travel Agencies ,Commissions or fees from lodging ,All Establishments ,Employer Firms ,"3,035","2,976","2,671",7,7.2,6.9
2212,Natural Gas Distribution ,Sales of energy and resources - Electricity generation and distribution ,All Establishments ,Employer Firms ,"1,171","1,126","1,427",6.3,3.3,0.9
5152,Cable and Other Subscription Programming ,Total operating revenue ,All Establishments ,Employer Firms ,"64,168","60,318","55,168",0.4,0.3,0.2
5417,Scientific Research and Development Services ,Original works of intellectual property ,Establishments exempt from federal income tax ,Employer Firms ,S,42,41,S,9,17.2
51222,Integrated Record Production/Distribution ,Total operating revenue ,All Establishments ,Employer Firms ,"7,257","7,238","8,258",0.7,0.7,0.2
621498,All Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"11,273","10,968","10,722",2,1.9,1.4
11,The industry name and description have been changed to reflect the 2012 NAICS manual in order to be consistent with industry nomenclature. ,,,,,,,,,
621498,All Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"11,273","10,968","10,722",2,1.9,1.4
62142,Outpatient Mental Health and Substance Abuse Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,367,342,279,14.2,12.3,14.6
54186,Direct Mail Advertising ,Fulfillment services ,All Establishments ,Employer Firms ,343,311,318,11.4,14.3,14.7
6212,Offices of Dentists ,Total operating revenue ,All Establishments ,Employer Firms ,"106,042","103,803","101,619",2.2,1.7,1
