5112,Software Publishers ,Application software publishing - General business productivity and home use applications ,All Establishments ,Employer Firms ,"28,039","27,990","25,731",6.6,6.2,4.8
621491,Other Outpatient Care Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,13,21,15,1.4,1.3,1.2
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Trading debt instruments on own account - Net gains (losses) ,All Establishments ,Employer Firms ,"4,488","2,704","3,373",5.2,8.1,4.6
5112,Software Publishers ,System software publishing - Database management software ,All Establishments ,Employer Firms ,"10,492","10,267","9,913",4.1,7,7.8
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Taxation planning and consulting services ,All Establishments ,Employer Firms ,"6,698","6,765","6,478",8.9,7.7,6.1
62133,"Offices of Mental Health Practitioners, (except Physicians) ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,297,309,294,9.3,8.6,8.9
  ,  ,,,,,,,,,
62132,Offices of Optometrists ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,86,88,S,24.1,24
6216,Home Health Care Services ,All other non-patient care revenue ,All Establishments ,Employer Firms ,489,502,493,21.3,18.8,19.6
5621,Waste Collection ,Total operating revenue ,All Establishments ,Employer Firms ,"42,370","42,567","41,373",3.7,3,3.2
511199,All Other Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"1,388","1,306","1,299",9.2,6.4,5.9
621391,Offices of Podiatrists ,Total operating revenue ,All Establishments ,Employer Firms ,"4,646","4,301","4,149",4.1,3.6,3.1
621391,Offices of Podiatrists ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"1,624","1,474","1,395",6.4,3.8,3.3
5417,Scientific Research and Development Services ,Basic and applied research in engineering and technology ,Establishments subject to federal income tax ,Employer Firms ,"15,562","17,234","16,130",7.7,12,11
622,Hospitals ,Investment and property income ,All Establishments ,Employer Firms ,"11,482","9,938","9,907",3.6,3.1,2.8
5417,Scientific Research and Development Services ,"Contributions, gifts, and grants received ",Establishments exempt from federal income tax ,Employer Firms ,"10,647","10,313","9,712",3.2,3,2.6
518,"Data Processing, Hosting, and Related Services5 ",Software publishing ,All Establishments ,Employer Firms ,"2,821",S,"2,019",9.8,S,10.3
5112,Software Publishers ,System software publishing - Network software ,All Establishments ,Employer Firms ,"15,725","14,471","13,911",7.7,8,7.7
54133,Engineering Services ,Hazardous waste and industrial waste engineering projects ,All Establishments ,Employer Firms ,"4,649","4,634","4,437",20.9,19.2,23.9
