PDB ID,Chain ID,Exp. Method,Resolution,Chain Length
"1A4F","A","X-RAY DIFFRACTION","2.00","141"
"1C7C","A","X-RAY DIFFRACTION","1.80","283"
"1CG5","A","X-RAY DIFFRACTION","1.60","141"
"1FAW","A","X-RAY DIFFRACTION","3.09","141"
"1HDA","A","X-RAY DIFFRACTION","2.20","141"
"1IRD","A","X-RAY DIFFRACTION","1.25","141"
"1KFR","A","X-RAY DIFFRACTION","1.85","147"
"1QPW","A","X-RAY DIFFRACTION","1.80","141"
"1SPG","A","X-RAY DIFFRACTION","1.95","144"
"1UX8","A","X-RAY DIFFRACTION","2.15","132"
"1WXR","A","X-RAY DIFFRACTION","2.20","1048"
"2AA1","A","X-RAY DIFFRACTION","1.80","143"
"2D5X","A","X-RAY DIFFRACTION","1.45","141"
"2DHB","A","X-RAY DIFFRACTION","2.80","141"
"2H8F","A","X-RAY DIFFRACTION","1.30","143"
"2IG3","A","X-RAY DIFFRACTION","2.15","127"
"2LHB","A","X-RAY DIFFRACTION","2.00","149"
"2QMB","A","X-RAY DIFFRACTION","2.80","142"
"2W72","A","X-RAY DIFFRACTION","1.07","141"
"2WY4","A","X-RAY DIFFRACTION","1.35","140"
"3AEH","A","X-RAY DIFFRACTION","2.00","308"
"3ARL","A","X-RAY DIFFRACTION","1.81","152"
"3CY5","A","X-RAY DIFFRACTION","2.00","141"
"3D4X","A","X-RAY DIFFRACTION","2.20","141"
"3EOK","A","X-RAY DIFFRACTION","2.10","141"
"3MJU","A","X-RAY DIFFRACTION","3.50","141"
"3VRG","A","X-RAY DIFFRACTION","1.50","141"
"4ESA","A","X-RAY DIFFRACTION","1.45","143"
"4HBI","A","X-RAY DIFFRACTION","1.60","146"
